,avg 00-01 UTC,avg 01-02 UTC,avg 02-03 UTC,avg 03-04 UTC,avg 04-05 UTC,avg 05-06 UTC,avg 06-07 UTC,avg 07-08 UTC,avg 08-09 UTC,avg 09-10 UTC,avg 10-11 UTC,avg 11-12 UTC,avg 12-13 UTC,avg 13-14 UTC,avg 14-15 UTC,avg 15-16 UTC,avg 16-17 UTC,avg 17-18 UTC,avg 18-19 UTC,avg 19-20 UTC,avg 20-21 UTC
1,989.5366689,1019.448542,1019.188197,1002.377259,995.9646775,1018.910379,989.1425,1018.685763,989.2211605,989.2174907,988.8702634,989.4588878,989.2633785,989.1394578,989.4006405,989.0100015,997.3369925,1018.437302,989.6576626,992.6690529,1002.220528
2,1007.993349,1008.733784,1012.753046,998.4773042,985.4458633,1008.243366,978.285,1008.159232,978.442321,978.4349814,977.7405268,996.4837274,978.526757,1002.846247,984.0288009,978.0200029,1016.172993,1030.868418,978.5184101,993.9325326,1009.406885
3,998.875316,998.0190263,1018.942133,1009.412704,974.927049,1028.049219,997.0153454,997.4272013,996.9016508,968.1439825,990.3943266,990.913276,997.2274452,992.3915369,979.8367646,978.6252501,1035.776387,1021.37098,967.5320554,996.1797629,1013.768592
4,1003.080653,1000.311157,1008.030236,998.6368038,969.3956893,1016.998329,1015.745691,1007.001601,986.087094,978.1549252,987.0763677,1009.590992,986.6565643,998.2865029,975.0580852,970.4966354,1024.204892,1022.689236,957.4503383,994.223406,1019.48089
5,1009.3955,991.4852444,1026.834868,1016.996108,961.7099166,1016.187818,1034.761646,1025.195159,975.2793975,996.5437436,1006.025831,998.6213629,1005.436725,1014.678767,971.8993278,968.4352134,1022.012502,1011.188082,949.9734392,990.8609233,1020.304421
6,998.8211971,992.6742638,1038.706407,1005.467613,979.5365939,1035.578716,1023.384667,1019.690174,993.9725014,1014.932562,1006.889579,987.9152415,1024.372477,1003.638835,966.623845,963.750978,1015.741312,999.6869279,951.53175,986.102422,1021.021175
7,1000.238185,982.0862847,1047.447781,994.3778602,968.5835956,1024.570858,1031.262238,1032.72115,1012.744539,1008.606942,996.0269204,977.2091201,1013.012431,993.0123052,959.0740914,953.5157003,1006.621512,993.956591,953.4460794,986.1210067,1022.044512
8,1018.560472,971.2038586,1037.292689,983.2881076,974.4599166,1043.536052,1020.282855,1029.272908,1001.846401,997.5155787,1013.68679,969.6000033,1013.420718,994.4938692,952.9503631,944.7573331,995.8146713,982.7446252,949.198841,993.6808647,1018.866641
9,1033.651889,960.3261644,1025.762469,972.5747074,963.7274573,1031.802712,1023.622805,1043.544197,990.9482621,986.4242156,1001.523809,958.7322717,1001.69947,1008.803268,948.1472215,939.746051,987.6149457,971.5326593,949.3791976,998.3267281,1011.22216
10,1034.471164,950.1202812,1024.098043,961.8613072,952.9949979,1020.069372,1042.746544,1037.580252,980.25789,975.434406,994.2823826,948.5353783,994.980924,1016.453541,941.6961737,937.6685415,985.5202035,969.5147996,954.8419248,1002.723569,1002.108405
11,1025.00619,944.8584567,1014.720416,951.0230765,942.4371948,1023.477011,1031.513689,1026.57311,969.5644884,964.4445964,983.0829669,938.338485,998.9922544,1023.487283,935.2336296,949.0316116,988.3674137,966.3161043,954.5012349,1003.611075,992.9092833
12,1029.141354,946.6934847,1031.181117,940.1849429,931.6543687,1032.302648,1020.328029,1023.218517,985.9007974,954.0854984,1001.371637,955.3300818,995.1466698,1030.655395,932.8071581,959.8327332,992.9120978,957.1801235,952.5487281,998.4404652,985.275147
13,1048.119127,947.1291026,1039.69861,929.6033634,949.0605033,1020.838665,1033.124381,1033.730475,1004.564712,958.3916762,1008.484708,972.3216787,992.4907945,1032.30419,936.9022968,955.4897176,1001.650698,949.074836,957.7695303,992.5371476,978.4656872
14,1054.790673,937.1740528,1029.50203,922.502859,938.5891497,1039.599563,1024.821231,1040.055222,995.7651532,976.0256995,1026.720176,961.3019077,1002.705809,1023.854244,945.6295866,948.8719381,1012.909107,944.6081782,962.6840207,987.2475996,973.3405745
